Name,Wing Area,Max Speed,Empty Mass,Max Ballast,Reference Weight,Handicap,v1,si1,v2,si2,v3,si3
JS-3 (18m),9.9,250,282,158,398,122,100,-0.550,130,-0.720,160,-1.120
Janus (18m),16.6,250,405,240,498,102,100,-0.710,120,-0.920,150,-1.460
Janus C FG,17.4,250,405,170,603,106,116,-0.760,172,-1.980,210,-4.000
Janus C RG,17.3,250,405,240,519,108,90,-0.600,120,-0.880,160,-1.640
Ka 2b,17.5,250,278,0,418,78,87,-0.900,120,-1.500,150,-2.600
Ka 4,16.3,250,220,0,360,54,65,-0.950,120,-2.500,140,-3.500
Ka 6CR,12.5,250,185,0,310,82,65,-0.670,130,-2.260,170,-4.690
Ka 6E,12.4,250,185,0,310,85,87,-0.810,142,-2.030,175,-3.500
Ka 7,17.5,250,285,0,445,78,87,-0.920,120,-1.550,150,-2.700
Ka 8,14.1,250,190,0,290,76,74,-0.760,102,-1.270,167,-4.640
L 33 Solo,11.0,250,210,0,330,86,87,-0.800,136,-1.730,174,-3.400
LAK-12,14.6,250,360,190,430,114,75,-0.480,125,-0.880,175,-1.970
LAK-17 (15m),9.1,250,220,215,285,113,100,-0.600,120,-0.720,150,-1.090
LAK-17 (18m),9.8,250,225,205,295,119,100,-0.560,120,-0.740,150,-1.160
LAK-19 (15m),9.1,250,220,195,285,108,100,-0.640,120,-0.850,150,-1.410
LAK-19 (18m),9.8,250,226,185,295,114,100,-0.600,120,-0.820,150,-1.340
LAK17a (15m),9.1,250,220,180,285,113,95,-0.574,148,-1.310,200,-2.885
LAK17a (18m),9.8,250,225,180,298,119,115,-0.680,158,-1.379,200,-2.975
LS-10s (15m),10.3,250,288,170,370,113,100,-0.640,120,-0.800,150,-1.260
LS-10s (18m),11.4,250,295,220,380,119,100,-0.580,120,-0.750,150,-1.210
LS-1c,9.7,250,200,91,350,98,116,-1.020,154,-1.840,193,-3.300
LS-1f,9.7,250,230,80,345,100,100,-0.750,120,-0.980,150,-1.600
LS-3,10.5,250,270,121,383,107,93,-0.640,127,-0.930,148,-1.280
LS-3 (17m),11.2,250,255,0,325,109,100,-0.610,120,-0.840,150,-1.530
LS-3 WL,10.5,250,295,121,396,108,80,-0.604,105,-0.700,180,-1.939
LS-4,10.5,250,235,121,361,104,100,-0.690,120,-0.870,150,-1.440
LS-5,13.9,250,361,120,461,118,75,-0.450,135,-1.000,172,-1.900
LS-6 (15m),10.5,250,265,160,327,111,90,-0.600,100,-0.658,183,-1.965
LS-6 (18m),11.4,250,272,140,330,117,90,-0.510,100,-0.570,183,-2.000
LS-7wl,9.8,250,235,150,350,107,104,-0.730,156,-1.470,180,-2.660
LS-8 (15m),10.5,250,240,185,325,108,70,-0.510,115,-0.850,173,-2.000
LS-8 (18m),11.4,250,250,185,325,114,80,-0.510,94,-0.560,173,-2.000
Mini Nimbus,9.9,250,235,155,345,107,100,-0.690,120,-0.920,150,-1.450
Nimbus 2,14.4,250,350,159,493,114,120,-0.750,180,-2.140,220,-3.800
Nimbus 3,16.7,250,396,159,527,122,116,-0.670,174,-1.810,232,-3.800
Nimbus 3D,16.7,250,485,168,712,121,94,-0.460,175,-1.480,219,-2.500
Nimbus 3DM,16.7,250,595,168,820,121,115,-0.570,157,-0.980,222,-2.300
Nimbus 3T,16.7,250,422,310,577,121,142,-0.990,182,-1.890,243,-4.000
Nimbus 4,17.8,250,470,303,597,124,85,-0.410,128,-0.750,163,-1.400
Nimbus 4D,17.8,250,515,303,743,123,108,-0.500,143,-0.830,182,-1.600
Nimbus 4DM,17.8,250,595,168,820,123,100,-0.480,150,-0.870,191,-1.600
PIK-20B,10.0,250,240,144,354,102,102,-0.690,158,-1.590,217,-3.600
PIK-20D,10.0,250,227,144,348,104,100,-0.690,156,-1.780,215,-4.200
PIK-20E,10.0,250,324,80,437,104,110,-0.830,167,-2.000,241,-4.700
PIK-30M,10.6,250,347,0,460,0,124,-0.780,152,-1.120,200,-2.200
PW-5 Smyk,10.2,250,190,0,300,85,100,-0.950,158,-2.850,198,-5.100
PW-6,15.3,250,360,0,546,86,104,-0.847,152,-1.994,200,-4.648
Pegase 101A,10.5,250,252,120,344,102,85,-0.620,105,-0.750,175,-2.540
Phoebus C,14.1,250,225,150,310,100,100,-0.700,120,-0.980,150,-1.580
Pilatus B4 FG,14.0,250,230,0,306,86,90,-0.847,126,-1.644,198,-5.098
R-26S Gobe,18.0,250,230,0,420,0,60,-1.020,80,-0.960,120,-2.110
Russia AC-4,7.7,250,140,0,250,84,99,-0.920,140,-1.800,170,-2.900
SF-27B,13.0,250,220,0,300,88,100,-0.810,120,-1.270,150,-2.500
SGS 1-26E,14.9,250,202,0,315,63,82,-1.040,118,-1.880,157,-3.800
SGS 1-34,14.0,250,259,0,354,85,90,-0.800,144,-2.100,180,-3.800
SGS 1-35A,9.6,250,180,179,381,0,99,-0.740,152,-1.800,203,-3.900
SGS 1-36 Sprite,13.1,250,215,0,322,76,76,-0.680,133,-2.000,171,-4.100
SGS 2-33,20.4,250,272,0,472,54,72,-0.960,113,-1.740,148,-3.440
SZD-30 Pirat,13.8,250,260,0,370,86,80,-0.720,100,-0.980,150,-2.460
SZD-36 Cobra,11.6,250,275,30,350,98,71,-0.600,94,-0.690,148,-1.830
SZD-42 Jantar II,14.3,250,362,191,482,113,110,-0.660,157,-1.470,196,-2.700
SZD-48-2 Jantar,10.7,250,274,150,375,100,100,-0.730,120,-0.950,150,-1.600
SZD-48-3 Jantar,10.7,250,274,150,326,100,95,-0.660,180,-2.240,220,-3.850
SZD-50 Puchacz,18.2,250,370,135,435,84,100,-1.000,120,-1.420,150,-2.350
SZD-51-1 Junior,12.5,250,242,0,333,90,70,-0.580,130,-1.600,180,-3.600
SZD-54-2 17m,16.4,250,375,0,442,98,98,-0.920,174,-4.350,250,-13.220
SZD-54-2 17m WL,16.4,250,375,0,442,98,99,-0.860,175,-4.220,250,-13.010
SZD-54-2 20m WL,17.3,250,380,0,442,102,91,-0.690,170,-3.980,250,-12.660
SZD-55-1 Promyk,9.6,250,215,200,350,106,100,-0.660,120,-0.860,150,-1.400
SZD-9-1E Bocian,20.0,250,330,0,540,76,70,-0.830,90,-1.000,140,-2.530
Silene E78,18.0,250,365,0,450,0,75,-0.548,125,-1.267,160,-2.439
Skylark 4,16.1,250,258,0,395,84,78,-0.637,139,-2.000,200,-5.092
Std Cirrus,10.0,250,215,80,337,99,93,-0.740,149,-1.710,205,-4.200
Stemme S-10,18.7,250,645,0,850,110,134,-0.830,168,-1.410,205,-2.300
Taurus,12.3,250,306,0,472,99,100,-0.710,120,-0.830,150,-1.350
VSO-10 Gradient,12.0,250,250,0,347,96,90,-0.780,130,-1.410,160,-2.440
VT-116 Orlik II,12.8,250,215,0,335,86,80,-0.700,100,-1.050,120,-1.650
Ventus 2b 15m,9.7,250,248,200,339,115,85,-0.576,110,-0.648,200,-2.230
Ventus 2c 18m,11.0,250,260,180,385,120,80,-0.500,120,-0.730,180,-2.000
Ventus 2cT 18m,11.0,250,305,110,410,120,100,-0.620,150,-1.200,200,-2.300
Ventus 2cx 18m,11.0,250,265,215,385,120,80,-0.500,120,-0.730,180,-2.000
Ventus 2cxT 18m,11.0,250,310,130,470,120,100,-0.560,150,-1.130,200,-2.280
Ventus 3 18m,10.8,250,395,140,385,122,102,-0.520,151,-1.080,200,-2.250
Ventus a/b 16.6m,10.0,250,250,151,358,113,100,-0.640,160,-1.470,240,-4.300
Ventus b (15m),9.5,250,240,151,341,110,98,-0.680,156,-1.460,234,-3.900
Ventus cM (17.6),10.1,250,360,0,430,115,100,-0.600,160,-1.320,210,-2.500
WA 26 P Squale,12.6,250,228,0,330,86,80,-0.610,152,-2.000,174,-3.000
Zuni II,10.1,250,238,182,358,0,110,-0.880,167,-2.210,204,-3.600
